title,release_date,mpaa,runtime,rating,genres,number_reviews,production_budget,opening_weekend,gross,fb_likes
Star Wars: The Force Awakens,18-Dec-15,PG-13,136,8.1,"Action,Adventure,Fantasy,Sci-Fi",670255,245000000,247966675,936627416,267000
The Wedding Ringer,16-Jan-15,R,101,6.7,Comedy,59500,23000000,24500000,64460211,74000
The Visit,11-Sep-15,PG-13,94,6.2,"Horror,Thriller",83345,5000000,25427560,65069140,29000
Magic Mike XXL,1-Jul-15,R,115,5.7,"Comedy,Drama,Music",42965,14800000,11600000,66009973,41000
War Room,28-Aug-15,PG,120,6.4,Drama,10010,3000000,11351389,67790117,30000
The Big Short,23-Dec-15,R,130,7.8,"Biography,Comedy,Drama,History",250966,28000000,705527,70235322,115000
Paul Blart: Mall Cop 2,17-Apr-15,PG,94,4.4,"Action,Comedy,Crime,Family",26668,30000000,23762435,71038190,81000
Bridge of Spies,16-Oct-15,PG-13,142,7.6,"Drama,History,Thriller",221249,40000000,15371203,72306065,58000
The Intern,25-Sep-15,PG-13,121,7.1,"Comedy,Drama",161668,35000000,17728313,75274748,58000
Pixels,24-Jul-15,PG-13,105,5.6,"Action,Comedy,Family,Sci-Fi",102883,88000000,24011616,78747585,40000
Goosebumps,16-Oct-15,PG,103,6.3,"Adventure,Comedy,Family,Fantasy,Horror",58373,58000000,23618556,80021740,36000
Ted 2,26-Jun-15,R,115,6.3,"Adventure,Comedy,Romance",138452,68000000,33507870,81257500,30000
Maze Runner: The Scorch Trials,18-Sep-15,PG-13,131,6.3,"Action,Sci-Fi,Thriller",161468,61000000,30316510,81687587,24000
Sisters,18-Dec-15,R,118,6,Comedy,50948,30000000,13922855,87028670,15000
Terminator Genisys,1-Jul-15,PG-13,126,6.5,"Action,Adventure,Sci-Fi",207899,155000000,28700000,89732035,82000
Get Hard,27-Mar-15,R,100,6,"Comedy,Crime",96347,40000000,33803253,90353764,14000
Tomorrowland,22-May-15,PG,130,6.5,"Action,Adventure,Family,Mystery,Sci-Fi",144577,190000000,32972000,93417865,38000
Creed,25-Nov-15,PG-13,133,7.6,"Drama,Sport",178054,35000000,29632823,109712885,74000
Trainwreck,17-Jul-15,R,125,6.3,"Comedy,Drama,Romance",107703,35000000,30097040,110008260,26000
Spy,5-Jun-15,R,119,7.1,"Action,Comedy,Crime",190065,65000000,29085719,110822419,44000
The Good Dinosaur,25-Nov-15,PG,93,6.8,"Animation,Adventure,Comedy,Drama,Family,Fantasy",78333,200000000,39155217,123070338,21000
Insurgent,20-Mar-15,PG-13,119,6.3,"Adventure,Sci-Fi,Thriller",174002,110000000,52263680,129995817,28000
The Peanuts Movie,6-Nov-15,G,88,7.1,"Animation,Adventure,Comedy,Family",34116,99000000,44213073,130174897,34000
Daddy's Home,25-Dec-15,PG-13,96,6.1,"Comedy,Family",69923,50000000,38740203,150315155,14000
Mad Max: Fury Road,15-May-15,R,120,8.1,"Action,Adventure,Sci-Fi,Thriller",642204,150000000,44440000,153629485,193000
San Andreas,29-May-15,PG-13,114,6.1,"Action,Adventure,Drama,Thriller",163486,110000000,54588173,155181732,53000
Straight Outta Compton,14-Aug-15,R,147,7.9,"Biography,Drama,History,Music",142305,28000000,56100000,161029270,79000
Fantastic Four,7-Aug-15,PG-13,100,4.3,"Action,Adventure,Sci-Fi",123097,120000000,25685737,56114221,42000
Joy,25-Dec-15,PG-13,124,6.6,"Biography,Drama",99219,60000000,17015168,56443482,26000
The Perfect Guy,11-Sep-15,PG-13,100,5.6,"Drama,Thriller",7628,12000000,25888154,57017904,10000
Vacation,29-Jul-15,R,99,6.1,"Adventure,Comedy",75566,31000000,14681108,58879132,29000
Black Mass,18-Sep-15,R,123,6.9,"Biography,Crime,Drama,History",137247,53000000,22635037,62563543,45000
The SpongeBob Movie: Sponge Out of Water,6-Feb-15,PG,92,6,"Animation,Adventure,Comedy,Family,Fantasy",37742,74000000,55365012,162495848,16000
Fifty Shades of Grey,13-Feb-15,R,125,4.1,"Drama,Romance,Thriller",246485,40000000,94395000,166147885,103000
Hotel Transylvania 2,25-Sep-15,PG,89,6.7,"Animation,Comedy,Family,Fantasy",70436,80000000,48464322,169692572,16000
Home,27-Mar-15,PG,94,6.7,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",78159,135000000,52107731,177343675,27000
Ant-Man,17-Jul-15,PG-13,117,7.3,"Action,Adventure,Comedy,Sci-Fi",375624,130000000,57225526,180191634,63000
Pitch Perfect 2,15-May-15,PG-13,115,6.5,"Comedy,Music",109794,29000000,70300000,183436380,40000
The Revenant,8-Jan-16,R,156,8,"Adventure,Drama,Thriller,Western",506751,135000000,474560,183635922,197000
Mission: Impossible - Rogue Nation,31-Jul-15,PG-13,131,7.4,"Action,Adventure,Thriller",260235,150000000,55520089,195000874,48000
Spectre,6-Nov-15,PG-13,148,6.8,"Action,Adventure,Thriller",311900,245000000,70403148,200074175,88000
Cinderella,13-Mar-15,PG,105,7,"Drama,Family,Fantasy,Romance",118628,95000000,67877361,201148159,57000
The Martian,2-Oct-15,PG-13,144,8,"Adventure,Drama,Sci-Fi",563908,108000000,54308575,228430993,159000
The Hunger Games: Mockingjay - Part 2,20-Nov-15,PG-13,137,6.6,"Action,Adventure,Sci-Fi,Thriller",205847,160000000,102665981,281666058,39000
Minions,10-Jul-15,PG,91,6.4,"Animation,Action,Adventure,Comedy,Family",162769,74000000,115200000,336029560,71000
Furious 7,3-Apr-15,PG-13,137,7.2,"Action,Crime,Thriller",304484,190000000,147187040,350034110,95000
Inside Out,19-Jun-15,PG,95,8.2,"Animation,Adventure,Comedy,Drama,Family,Fantasy",424369,175000000,90440272,356454367,122000
Avengers: Age of Ultron,1-May-15,PG-13,141,7.4,"Action,Adventure,Sci-Fi",523777,250000000,191271109,458991599,119000
Jurassic World,12-Jun-15,PG-13,124,7,"Action,Adventure,Sci-Fi",459857,150000000,204600000,652177271,151000
Hacksaw Ridge,4-Nov-16,R,139,8.2,"Biography,Drama,History,War",230212,40000000,15190758,67115062,82000
Lights Out,22-Jul-16,PG-13,81,6.4,Horror,73472,4900000,21688103,67235683,18000
10 Cloverfield Lane,11-Mar-16,PG-13,104,7.2,"Drama,Horror,Mystery,Sci-Fi,Thriller",198118,15000000,24702752,71897215,40000
Alice Through the Looking Glass,27-May-16,PG,113,6.2,"Adventure,Family,Fantasy",59420,170000000,28112000,77037635,33000
The Purge: Election Year,1-Jul-16,R,109,6,"Action,Horror,Sci-Fi,Thriller",56501,10000000,30870000,79003080,11000
The Accountant,14-Oct-16,R,128,7.4,"Action,Crime,Drama,Thriller",171954,44000000,24710273,86198014,46000
Miss Peregrine's Home for Peculiar Children,30-Sep-16,PG-13,127,6.7,"Adventure,Drama,Family,Fantasy",107121,110000000,28871140,87240689,58000
Don't Breathe,26-Aug-16,R,88,7.2,"Crime,Horror,Thriller",127372,9900000,26411706,89210468,29000
Ride Along 2,15-Jan-16,PG-13,102,5.9,"Action,Comedy",39253,40000000,34040000,90835030,66000
The Magnificent Seven,23-Sep-16,PG-13,132,6.9,"Action,Adventure,Western",128477,90000000,34703397,93381044,39000
Sausage Party,12-Aug-16,R,89,6.3,"Animation,Adventure,Comedy,Fantasy",125237,19000000,34263534,97661826,45000
The Boss,8-Apr-16,R,99,5.4,Comedy,30447,29000000,23586645,63034755,86000
Ice Age: Collision Course,22-Jul-16,PG,94,5.7,"Animation,Adventure,Comedy,Family,Sci-Fi",36303,105000000,21373064,64060187,88000
Now You See Me 2,10-Jun-16,PG-13,129,6.5,"Action,Adventure,Comedy,Crime,Mystery,Thriller",162017,90000000,22383146,65030563,21000
Allegiant,18-Mar-16,PG-13,120,5.7,"Action,Adventure,Mystery,Sci-Fi,Thriller",72478,110000000,29027348,66002193,13000
Passengers,21-Dec-16,PG-13,116,7,"Adventure,Drama,Romance,Sci-Fi",209834,110000000,15055000,100014092,39000
Arrival,11-Nov-16,PG-13,116,8,"Drama,Mystery,Sci-Fi,Thriller",359131,47000000,24000000,100501349,152000
The Conjuring 2,10-Jun-16,R,134,7.4,"Horror,Mystery,Thriller",141370,40000000,40406314,102461593,53000
Independence Day: Resurgence,24-Jun-16,PG-13,120,5.3,"Action,Adventure,Sci-Fi",131522,165000000,41039944,103137295,75000
The Angry Birds Movie,20-May-16,PG,97,6.3,"Animation,Action,Adventure,Comedy,Family",57206,73000000,38155177,107506776,16000
Bad Moms,29-Jul-16,R,100,6.2,Comedy,70364,20000000,23817340,113078694,32000
Sully,9-Sep-16,PG-13,96,7.5,"Biography,Drama",144054,60000000,35028301,125065700,54000
The Legend of Tarzan,1-Jul-16,PG-13,110,6.3,"Action,Adventure,Drama,Romance",122574,180000000,38135000,126585313,39000
Central Intelligence,17-Jun-16,PG-13,107,6.3,"Action,Comedy,Crime",100883,50000000,35535250,127380061,15000
Ghostbusters,15-Jul-16,PG-13,116,5.3,"Action,Comedy,Fantasy,Sci-Fi",151553,144000000,46018755,128344089,76000
Split,20-Jan-17,PG-13,117,7.3,"Horror,Thriller",183019,9000000,40010975,138120085,52000
Kung Fu Panda 3,29-Jan-16,PG,95,7.2,"Animation,Action,Adventure,Comedy,Family,Fantasy",91736,145000000,41282042,143523463,25000
The Forest,8-Jan-16,PG-13,93,4.8,"Horror,Mystery,Thriller",29394,10000000,12741176,26583369,11000
Resident Evil: The Final Chapter,27-Jan-17,R,107,5.6,"Action,Horror,Sci-Fi,Thriller",51855,40000000,13601682,26844692,22000
Florence Foster Jenkins,12-Aug-16,PG-13,111,6.9,"Biography,Comedy,Drama,Music",33214,29000000,6601313,27370107,27000
The Finest Hours,29-Jan-16,PG-13,117,6.8,"Action,Drama,History,Thriller",45665,80000000,10288932,27550735,15000
Moonlight,18-Nov-16,R,111,7.5,Drama,146207,1500000,402075,27850912,38000
Zoolander 2,12-Feb-16,PG-13,102,4.7,Comedy,49266,50000000,15650000,28837115,29000
When the Bough Breaks,9-Sep-16,PG-13,107,4.8,"Crime,Drama,Horror,Mystery,Thriller",3024,10000000,14202323,29703843,21000
"Hail, Caesar!",5-Feb-16,PG-13,106,6.3,"Comedy,Mystery",90910,22000000,11355225,29997095,24000
Underworld: Blood Wars,6-Jan-17,R,91,5.8,"Action,Adventure,Fantasy",44862,35000000,13688751,30348260,22000
Collateral Beauty,16-Dec-16,PG-13,97,6.8,"Drama,Romance",48717,36000000,7102085,30982955,19000
Gods of Egypt,26-Feb-16,PG-13,126,5.5,"Action,Adventure,Fantasy",75285,140000000,14123903,31141074,27000
Patriots Day,13-Jan-17,R,133,7.4,"Crime,Drama,History,Thriller",44427,45000000,161306,31856991,10000
Mother's Day,29-Apr-16,PG-13,118,5.6,"Comedy,Drama",21087,25000000,8369184,32463917,62000
Monster Trucks,13-Jan-17,PG,104,5.7,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",7997,125000000,10500000,33038182,42000
Inferno,28-Oct-16,PG-13,121,6.2,"Action,Adventure,Crime,Drama,Mystery,Thriller",102177,75000000,14860425,34257924,25000
The Brothers Grimsby,11-Mar-16,R,83,6.2,"Action,Adventure,Comedy",64756,35000000,3258327,6864016,21000
The Wild Life,9-Sep-16,PG,91,5.3,"Animation,Adventure,Comedy,Family",3898,13000000,3342696,7965609,11000
A Cure for Wellness,17-Feb-17,R,146,6.4,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",32443,40000000,5004463,8103139,6000
Ratchet & Clank,29-Apr-16,PG,94,5.6,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",7287,20000000,4869278,8549740,8000
Queen of Katwe,30-Sep-16,PG,124,7.4,"Biography,Drama,Sport",7657,15000000,304933,8805918,83000
Popstar: Never Stop Never Stopping,3-Jun-16,R,87,6.7,"Comedy,Music",31848,20000000,4698715,9393835,48000
Rock Dog,24-Feb-17,PG,90,5.8,"Animation,Adventure,Comedy,Family,Music",1723,60000000,3704749,9404922,743
Live by Night,13-Jan-17,R,129,6.4,"Crime,Drama",31059,108000000,33000,10377558,54000
I'm Not Ashamed,21-Oct-16,PG-13,112,5.6,"Biography,Drama",1646,1500000,927161,2080932,2000
Teenage Mutant Ninja Turtles: Out of the Shadows,3-Jun-16,PG-13,112,6,"Action,Adventure,Comedy,Sci-Fi",61699,135000000,35316382,541226,15000
Spirits' Homecoming,25-Mar-16,Not Rated,127,7,Drama,234,1960000,7341,119113,213
Graduation,20-May-16,R,128,7.5,"Crime,Drama",6190,2000000,10305,175975,17000
The Last Film Festival,16-Sep-16,R,90,3.9,Comedy,161,650000,70,3506,186
The Transporter Refueled,4-Sep-15,PG-13,96,5.1,"Action,Comedy,Crime,Thriller",31203,25000000,7130000,16027866,95000
The Bronze,18-Mar-16,R,100,6,"Comedy,Drama",7151,3500000,386328,615654,23000
Victor Frankenstein,25-Nov-15,PG-13,110,6,"Drama,Horror,Sci-Fi,Thriller",38956,40000000,2350000,5773519,12000
Little Boy,24-Apr-15,PG-13,106,7.4,"Drama,War",18731,20000000,2750356,6420319,17000
Baahubali: The Beginning,9-Jul-15,Unrated,159,8.3,"Action,Adventure,Drama,Fantasy,War",78588,18026148,1405000,6498000,22000
Me and Earl and the Dying Girl,1-Jul-15,PG-13,105,7.8,"Comedy,Drama",93481,8000000,364039,6743776,17000
Our Brand Is Crisis,30-Oct-15,R,107,6.1,"Comedy,Drama",15624,28000000,3238433,6998324,7000
Blackhat,16-Jan-15,R,133,5.4,"Crime,Drama,Mystery,Thriller",43513,70000000,4415000,7097125,11000
Mortdecai,23-Jan-15,R,107,5.5,"Action,Comedy,Crime,Mystery,Romance",52859,60000000,4200586,7605668,12000
The Hateful Eight,30-Dec-15,R,167,7.8,"Crime,Drama,Mystery,Thriller,Western",347181,44000000,4610676,54116191,119000
A Walk in the Woods,2-Sep-15,R,104,6.3,"Adventure,Biography,Comedy,Drama",18038,8000000,8400000,29467855,25000
Crimson Peak,16-Oct-15,R,119,6.5,"Drama,Fantasy,Horror,Mystery,Romance,Thriller",99015,55000000,13143310,31056945,45000
Chappie,6-Mar-15,R,120,6.9,"Action,Crime,Drama,Sci-Fi,Thriller",190942,49000000,13346782,31569268,69000
Paper Towns,24-Jul-15,PG-13,109,6.3,"Drama,Mystery,Romance",73683,12000000,12650140,31990064,95000
Entourage,3-Jun-15,R,104,6.6,Comedy,65149,30000000,10283250,32361416,17000
The Second Best Exotic Marigold Hotel,6-Mar-15,PG,122,6.6,"Comedy,Drama",25322,10000000,8540370,33071558,21000
Woman in Gold,10-Apr-15,PG-13,109,7.3,"Biography,Drama,History",40394,11000000,2091551,33305037,39000
The DUFF,20-Feb-15,PG-13,101,6.5,Comedy,58677,8500000,10809149,34017854,82000
Hot Pursuit,8-May-15,PG-13,87,5.1,"Action,Comedy,Crime",39545,35000000,13942258,34507079,67000
Dope,19-Jun-15,R,103,7.3,"Comedy,Crime,Drama",67466,7000000,6100010,17474107,24000
Concussion,25-Dec-15,PG-13,123,7.1,"Biography,Drama,Sport",62359,35000000,10500000,34531832,25000
Pan,9-Oct-15,PG,111,5.8,"Adventure,Family,Fantasy",48459,150000000,15315435,34964818,24000
The Boy Next Door,23-Jan-15,R,91,4.6,"Mystery,Thriller",30470,4000000,14910105,35385560,82000
The Longest Ride,10-Apr-15,PG-13,123,7.1,"Drama,Romance",59318,34000000,13019686,37432299,24000
Brooklyn,25-Nov-15,PG-13,117,7.5,"Drama,Romance",96346,11000000,187281,38317535,42000
Stonewall,25-Sep-15,R,129,4.9,Drama,2356,13500000,112414,186354,36000
The Age of Adaline,24-Apr-15,PG-13,112,7.2,"Drama,Fantasy,Romance",114272,25000000,13203458,42478175,36000
Krampus,4-Dec-15,PG-13,98,6.2,"Comedy,Fantasy,Horror",42874,15000000,16293325,42592530,30000
Max,26-Jun-15,PG,111,6.8,"Adventure,Drama,Family",21695,20000000,12155254,42652003,34000
The Night Before,20-Nov-15,R,101,6.4,Comedy,44611,25000000,9880536,43035725,78000
Everest,25-Sep-15,PG-13,121,7.1,"Action,Adventure,Drama,Thriller",156801,55000000,7222035,43247140,42000
The Gift,7-Aug-15,R,108,7.1,"Mystery,Thriller",98972,5000000,11854273,43771291,17000
"McFarland, USA",20-Feb-15,PG,129,7.4,"Biography,Drama,Sport",27074,17000000,11020798,44469602,23000
Spotlight,20-Nov-15,R,128,8.1,"Crime,Drama,History",274512,20000000,295009,44988180,90000
The Man from U.N.C.L.E.,14-Aug-15,PG-13,116,7.3,"Action,Adventure,Comedy",206234,75000000,13535000,45434443,44000
Sicario,2-Oct-15,R,121,7.6,"Action,Crime,Drama,Mystery,Thriller",247624,30000000,401288,46875468,66000
Mr. Holmes,24-Jul-15,PG,104,6.9,"Drama,Mystery",49838,10000000,2434908,17735503,30000
Steve Jobs,23-Oct-15,R,122,7.2,"Biography,Drama",117736,30000000,521522,17750583,25000
Paranormal Activity: The Ghost Dimension,23-Oct-15,R,88,4.6,Horror,18658,10000000,8070493,18247445,13000
John Wick: Chapter 2,10-Feb-17,R,122,7.7,"Action,Crime,Thriller",148425,40000000,30436123,91970516,35000
Get Out,24-Feb-17,R,104,7.8,"Horror,Mystery",142289,5000000,33377060,175428355,39000
The Fate of the Furious,14-Apr-17,PG-13,136,6.9,"Action,Adventure,Crime,Thriller",105532,250000000,98786705,225197855,28000
Logan,3-Mar-17,R,137,8.2,"Action,Drama,Sci-Fi,Thriller",329025,97000000,88411916,226264245,67000
Baby Driver,28-Jun-17,R,112,8.4,"Action,Crime,Music,Thriller",33620,34000000,21000000,35029105,94000
King Arthur: Legend of the Sword,12-May-17,PG-13,126,7.2,"Action,Adventure,Drama,Fantasy",53640,175000000,15371270,38678121,19000
The Case for Christ,7-Apr-17,PG,112,6.3,Drama,1423,3000000,3967885,14678714,52000
The Zookeeper's Wife,7-Apr-17,PG-13,127,7,"Biography,Drama,History,War",7598,20000000,3288835,17407536,53000
Gifted,12-Apr-17,PG-13,101,7.7,Drama,15995,7000000,446380,24523969,71000
Fist Fight,17-Feb-17,R,91,5.7,Comedy,17606,20000000,14121149,32153522,29000
Ghost in the Shell,31-Mar-17,PG-13,107,6.6,"Action,Crime,Drama,Mystery,Sci-Fi,Thriller",70420,110000000,18676033,40533014,30000
Smurfs: The Lost Village,29-Jul-11,PG,90,5.9,"Animation,Adventure,Comedy,Family,Fantasy",5874,60000000,13210449,44708273,25000
xXx: Return of Xander Cage,20-Jan-17,PG-13,107,5.2,"Action,Adventure,Thriller",51972,85000000,20130142,44739591,16000
Baywatch,25-May-17,R,116,5.8,"Action,Comedy,Drama",21898,69000000,18100000,56656293,7000
The Shack,3-Mar-17,PG-13,132,6.4,"Drama,Fantasy",11858,20000000,16172119,57330873,25000
A Dog's Purpose,27-Jan-17,PG,100,6.7,"Adventure,Comedy,Drama,Family,Fantasy",30361,22000000,18222810,64304940,33000
Captain Underpants: The First Epic Movie,2-Jun-17,PG,89,6.8,"Animation,Action,Comedy,Family",2842,38000000,23851539,68145793,91000
Alien: Covenant,19-May-17,R,122,6.7,"Horror,Sci-Fi,Thriller",95673,97000000,36160621,73334769,51000
American Sniper,16-Jan-15,R,133,7.3,"Action,Biography,Drama,History,Thriller,War",356601,58800000,676909,350123553,112000
Taken 3,9-Jan-15,PG-13,109,6,"Action,Thriller",146116,48000000,39201657,89253340,38000
The Imitation Game,25-Dec-14,PG-13,114,8.1,"Biography,Drama,Thriller,War",536943,14000000,479352,91121452,171000
Non-Stop,28-Feb-14,PG-13,106,7,"Action,Mystery,Thriller",213500,50000000,28875635,91439400,25000
Heaven Is for Real,16-Apr-14,PG,99,5.8,"Biography,Drama,Family",22211,12000000,22522221,91443253,24000
Edge of Tomorrow,6-Jun-14,PG-13,113,7.9,"Action,Adventure,Sci-Fi",477015,178000000,28760246,100189501,79000
Noah,28-Mar-14,PG-13,138,5.8,"Action,Adventure,Drama",210808,125000000,43720472,101160529,72000
The Equalizer,26-Sep-14,R,132,7.2,"Action,Crime,Thriller",251350,55000000,34137828,101530738,57000
The Maze Runner,19-Sep-14,PG-13,113,6.8,"Action,Mystery,Sci-Fi,Thriller",338407,34000000,32512804,102413606,39000
300: Rise of an Empire,7-Mar-14,R,102,6.2,"Action,Fantasy",239584,110000000,45038460,106369117,71000
Mr. Peabody & Sherman,7-Mar-14,PG,92,6.9,"Animation,Adventure,Comedy,Family,Sci-Fi",51670,145000000,32207057,111505642,12000
Night at the Museum: Secret of the Tomb,19-Dec-14,PG,98,6.2,"Adventure,Comedy,Family,Fantasy",75915,127000000,17100520,113733726,11000
Unbroken,25-Dec-14,PG-13,137,7.2,"Biography,Drama,Sport,War",115176,65000000,31748000,115603980,35000
The Fault in Our Stars,6-Jun-14,PG-13,126,7.8,"Drama,Romance",274041,12000000,48002523,124868837,95000
